,content,hit_count,last_hit,cost,id
0,153.0,0.0,1636708975.459274,350.0,65f24408-64ad-4cbe-a42e-14344fee90f1
0,130.0,0.0,1636708975.463298,350.0,1823029c-6f45-4a93-85e8-bb4070931c26
0,1,105,1636708975.469415,15,be789655-3d2a-4cc6-8274-3ef6e0b20702
0,17.0,0.0,1636708975.471943,350.0,c037858c-a9cc-483f-bc46-434ecf6b2a33
0,1,106,1636708975.477921,15,1511dbd8-8547-497d-b693-06ddb574c2fc
0,1,107,1636708975.482438,15,f94df4ec-6f83-48d1-a7d9-803c6c47ace8
0,25.0,0.0,1636708975.484791,350.0,9b79acc7-3a37-431b-a2ab-4bf58c977c46
0,24.0,0.0,1636708975.488652,350.0,0db6f7b0-409d-4358-a0c4-c31f4c502696
7,8,3,1636708975.494657,15,b13ef822-56cf-4e41-8c3c-2ed5e48fa9f6
3,4,11,1636708975.499168,15,7de3d2bc-e252-4680-a6be-30b5ca3987ca
0,1,108,1636708975.503666,15,75a17ee4-25af-48ff-842c-8356f5e7d990
2,3,21,1636708975.508152,15,b1a905fb-4213-4c68-b7ba-b8ed66c51474
1,2,34,1636708975.512655,15,83169b55-2ba3-4bfe-b961-c8f14bc16149
0,61.0,0.0,1636708975.51498,350.0,cb1f8ce5-86f9-45b6-a9c8-0eb47f787e47
2,3,22,1636708975.526426,15,dc5df879-e090-45e6-a50e-cbce7acccdb3
2,3,23,1636708975.531176,15,a5ca72be-9669-4596-937f-960c1e9538c5
0,1444.0,0.0,1636708975.533513,350.0,76e6581c-8037-4aed-ab6e-29fa8ffc6600
0,1,109,1636708975.539628,15,664dc03b-6c25-4aa9-a33d-c38d63bcf61e
4,5,11,1636708975.544167,15,0299fcc3-4b87-424b-9e4b-90ad69d833f0
0,1,110,1636708975.548747,15,91834f9b-19a7-4de4-9c68-18a94e4a34fb
0,1,111,1636708975.553241,15,d4430af5-a15e-4420-8aeb-c7bbd11701cc
0,12.0,0.0,1636708975.555606,350.0,d1b68797-c721-40d4-aa34-3415331441b8
1,2,35,1636708975.561659,15,2d906a30-94d8-47ac-b7b1-3a1c7faf89ab
4,5,12,1636708975.566178,15,29978a5f-7847-4f3c-b5c8-d9afc24fec3b
4,5,13,1636708975.570681,15,44241db3-e75d-4f79-bb5b-78801c46ed60
6,7,6,1636708975.575209,15,84706cb5-ef21-452b-85ed-2fd87e4d1867
0,1,112,1636708975.5797,15,e93d08bc-66bc-485e-a33f-6b28a10b2810
0,1,113,1636708975.584185,15,8050d5ac-b741-4abd-98b1-c4baa3f34a47
0,18.0,0.0,1636708975.586469,350.0,25b49e34-8efc-43ad-bbe2-f1a49520cfeb
0,1,114,1636708975.593178,15,958c6401-8193-4a8c-8a7e-675d6a8a8e70
3,4,12,1636708975.597667,15,635d8b28-d655-4f33-ba06-61dcbb9d1519
0,1,115,1636708975.602168,15,74ac82ef-877d-4e26-ab68-5a99ce4395e4
0,1,116,1636708975.606624,15,ff472644-1433-4175-8814-17b6a901bf7c
0,1,117,1636708975.611127,15,633dcaf6-8682-4fb6-8581-58e52b231eb8
0,1,118,1636708975.615683,15,fdd19708-d305-405e-ad8c-61a46654f840
1,2,36,1636708975.620191,15,98cece9d-bfcb-44c0-bc74-f8e09ab02c94
0,1,119,1636708975.624735,15,cddd8bb0-376e-4d40-87af-afd9d3ee3f1d
2,3,24,1636708975.629194,15,846da228-2f45-4e71-aac3-9558464d9020
0,1,120,1636708975.633639,15,f7f998f1-2a1e-4c5b-a989-89ff35e9b6de
0,1,121,1636708975.638177,15,cd6ab310-c27a-44af-8ac2-22cda9e2f04e
1,2,37,1636708975.642701,15,2f2f13d1-7ff8-4f75-8687-0c14f85e5031
0,1,122,1636708975.647278,15,b42590c6-4e5b-4705-a224-af35100d9a70
0,1,123,1636708975.651807,15,6bcc80f0-1464-47b2-b953-80a6beac3b5d
0,1,124,1636708975.656299,15,a37ab1a7-083e-4e61-92ad-af313f4e6cb8
3,4,13,1636708975.66078,15,ab31bfad-20fd-4c92-a29b-1826ecc0c226
0,1,125,1636708975.665271,15,62c1dfbe-4fd3-47c9-b761-756319554850
0,1,126,1636708975.669763,15,ec838796-594b-470e-8939-cadd5d7dc646
1,2,38,1636708975.674326,15,44e6eed9-7647-4da0-b8e6-e8cab3a3d31e
6,7,7,1636708975.678824,15,553fab2e-0022-4750-aa59-67a6b023ca36
0,1,127,1636708975.683417,15,734ab0e5-c31c-468b-b630-1d39f30d9ac5
0,1,128,1636708975.687902,15,29a202fe-bea1-43d7-8a45-5d1e78c73c21
5,6,4,1636708975.692441,15,a0ffd74f-ee27-4f9c-9d28-9c9286f58846
0,1,129,1636708975.696922,15,84b662d2-1bbe-426b-b52e-9bb8103d1369
4,5,14,1636708975.701392,15,a52812e1-32b6-4b59-b8f3-ea50a6b45cac
0,89.0,0.0,1636708975.703748,350.0,8b13a165-bc5f-4dd6-8ab1-6d9dbcbb7ecb
0,138.0,0.0,1636708975.707663,350.0,43e3cd61-4323-47b7-9701-a2db935bf6d3
1,2,39,1636708975.713704,15,528f9e58-e185-4a8c-8535-5607afc5b2bc
0,1,130,1636708975.718095,15,0438d9d6-d249-48d9-94d5-f4300ca44da8
0,18.0,0.0,1636708975.720127,350.0,7cab34c7-a62e-492d-8fb1-bf76fa832647
0,1,131,1636708975.725383,15,e8956ec1-bcb5-4d74-9114-c159b01adbea
0,1,132,1636708975.729374,15,796ec9a0-e5bc-4f36-b0f9-e361514c481e
0,1,133,1636708975.733317,15,f4b579b2-c958-47a3-bb5f-1dec2f68db54
1,2,40,1636708975.737337,15,7508830b-f847-4b80-a628-06838b308150
2,3,25,1636708975.741215,15,b52b0688-275a-422b-a79e-1ddf2258dda2
0,1,134,1636708975.745206,15,2a11336c-09ff-47cd-851e-9d3068827c0b
0,10.0,0.0,1636708975.789283,350.0,34c45417-79b7-4cb1-9937-28b7250a3ade
0,1,135,1636708975.858018,15,279313d9-fcd8-4fa2-b2f4-e4280489eb64
0,1,136,1636708975.871548,15,d4e106ae-94bf-4c0b-a661-247d3802562f
1,2,41,1636708975.90226,15,309d5911-f8d9-4bde-a537-76b70464f63e
0,1,137,1636708975.908712,15,ca76ccf9-be90-447c-a796-069fa6b992fb
0,1,138,1636708976.757181,15,9480f985-528c-4339-b520-ea4240a39de3
0,1,139,1636708976.764554,15,00f9859e-aa42-4d10-8e4c-cdfc7a51b517
0,1,140,1636708976.769662,15,cb3f9e35-e6ef-4dc4-bb5b-af1c8da7bb66
0,1,141,1636708976.776408,15,7ee481f9-ddb4-43e4-820f-ae8becd78840
0,34.0,0.0,1636708976.778833,350.0,725532c2-91f4-4291-92d7-6a086520cfdf
0,1,142,1636708976.78499,15,9251fa5e-8194-443c-a0f0-ceaa0bf5e031
0,1,143,1636708976.78952,15,ca92a00c-5155-4857-a1f7-d852543daf0d
1,2,42,1636708976.794115,15,d51ddf45-ba24-49f2-a721-9969c095a66f
0,20.0,0.0,1636708976.796552,350.0,89d025da-7f06-4c83-adb4-59c2975bafc3
0,1,144,1636708976.802808,15,52989534-0ebf-448a-b0e6-021f8e661b2f
4,5,15,1636708976.807518,15,b702a7fd-263c-4ab2-be94-e41ae58473a6
